Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-13,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-17,-1
1.73907e+09,0,0,-16.3689,0.384,-21,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-14,-1
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-22,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-21,0
1.73907e+09,0,0,-16.3689,0.384,-22,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-15,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-22,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-21,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-15,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-21,0
1.73907e+09,0,0,-16.3689,0.384,-22,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-23,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-26,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-22,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-16,-1
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-16,0
1.73907e+09,0,0,-16.3689,0.384,-19,-1
1.73907e+09,0,0,-16.3689,0.384,-13,0
1.73907e+09,0,0,-16.3689,0.384,-19,0
1.73907e+09,0,0,-16.3689,0.384,-13,0
1.73907e+09,0,0,-16.3689,0.384,-21,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-16,-1
1.73907e+09,0,0,-16.3689,0.384,-23,-1
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-14,0
1.73907e+09,0,0,-16.3689,0.384,-23,0
1.73907e+09,0,0,-16.3689,0.384,-21,0
1.73907e+09,0,0,-16.3689,0.384,-18,0
1.73907e+09,0,0,-16.3689,0.384,-20,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-17,0
1.73907e+09,0,0,-16.3689,0.384,-19,-1
1.73907e+09,0,0,-16.3682,0.384,-15,0
1.73907e+09,0,0,-16.3653,0.384,-16,0
1.73907e+09,0,0,-16.2671,0.384,-18,0
1.73907e+09,0,0,-15.6251,0.384,-18,0
1.73907e+09,0,0,-14.0859,0.384,-14,0
1.73907e+09,0,0,-11.5297,0.384,-16,0
1.73907e+09,0,0,-8.70016,0.384,-14,0
1.73907e+09,0,0,-5.91941,0.384,-18,0
1.73907e+09,0,0,-3.28712,0.384,-15,0
1.73907e+09,0,0,-0.497049,0.384,-16,0
1.73907e+09,0,0,2.7205,0.384,-16,0
1.73907e+09,0,0,5.79461,0.384,-20,0
1.73907e+09,0,0,8.64923,0.384,-16,0
1.73907e+09,0,0,11.6301,0.384,-15,0
1.73907e+09,0,0,15.0858,0.384,-18,0
1.73907e+09,0,0,18.9331,0.384,-21,0
1.73907e+09,0,0,22.5838,0.384,-17,0
1.73907e+09,0,0,26.2439,0.384,-21,0
1.73907e+09,0,0,30.3968,0.384,-18,0
1.73907e+09,0,0,34.546,0.384,-21,0
1.73907e+09,0,0,38.1724,0.384,-15,0
1.73907e+09,0,0,41.8024,0.384,-18,0
1.73907e+09,0,0,45.778,0.384,-14,0
1.73907e+09,0,0,49.4137,0.384,-12,0
1.73907e+09,0,0,52.5682,0.384,-17,0
1.73907e+09,0,0,55.6014,0.384,-16,0
1.73907e+09,0,0,58.8785,0.384,-14,0
1.73907e+09,0,0,61.7754,0.384,-20,0
1.73907e+09,0,0,64.1208,0.384,-14,0
1.73907e+09,0,0,65.7984,0.384,-18,0
1.73907e+09,0,0,66.5759,0.384,-19,0
1.73907e+09,0,0,66.5716,0.384,-19,0
1.73907e+09,0,0,66.5716,0.384,-12,0
1.73907e+09,0,0,66.5716,0.384,-16,0
1.73907e+09,0,0,66.5716,0.384,-20,0
1.73907e+09,0,0,66.5716,0.384,-20,0
1.73907e+09,0,0,66.5716,0.384,-23,0
1.73907e+09,0,0,66.5716,0.384,-14,0
1.73907e+09,0,0,66.5716,0.384,-16,0
1.73907e+09,0,0,66.5716,0.384,-16,0
1.73907e+09,0,0,66.5716,0.384,-18,-1
1.73907e+09,0,0,66.5716,0.384,-23,0
1.73907e+09,0,0,66.5716,0.384,-21,0
1.73907e+09,0,0,66.5716,0.384,-17,0
1.73907e+09,0,0,66.5716,0.384,-22,0
1.73907e+09,0,0,66.5716,0.384,-24,0
1.73907e+09,0,0,66.5716,0.384,-18,0
1.73907e+09,0,0,66.5716,0.384,-17,0
1.73907e+09,0,0,66.5716,0.384,-21,0
1.73907e+09,0,0,66.5716,0.384,-20,0
1.73907e+09,0,0,66.5716,0.384,-23,0
